"","Taxa","DetectionThreshold","Prevalence","color","name"
"190","Anaerotruncus_unclassified","0.01",0,"#797979","<i style='color:#797979'>Anaerotruncus_unclassified</i>"
"219","Bilophila_wadsworthia","0.01",0,"#797979","<i style='color:#797979'>Bilophila_wadsworthia</i>"
"193","Lachnospiraceae_bacterium_7_1_58FAA","0.01",0.000874125874125874,"#D55E00","<i style='color:#D55E00'>Lachnospiraceae_bacterium_7_1_58FAA</i>"
"187","Veillonella_unclassified","0.01",0.00262237762237762,"#797979","<i style='color:#797979'>Veillonella_unclassified</i>"
"196","Alistipes_senegalensis","0.01",0.0034965034965035,"#797979","<i style='color:#797979'>Alistipes_senegalensis</i>"
"198","Bilophila_unclassified","0.01",0.00437062937062937,"#797979","<i style='color:#797979'>Bilophila_unclassified</i>"
"210","Adlercreutzia_equolifaciens","0.01",0.00786713286713287,"#797979","<i style='color:#797979'>Adlercreutzia_equolifaciens</i>"
"220","Clostridium_bartlettii","0.01",0.0113636363636364,"#797979","<i style='color:#797979'>Clostridium_bartlettii</i>"
"186","Streptococcus_parasanguinis","0.01",0.0148601398601399,"#797979","<i style='color:#797979'>Streptococcus_parasanguinis</i>"
"213","Anaerostipes_hadrus","0.01",0.0244755244755245,"#797979","<i style='color:#797979'>Anaerostipes_hadrus</i>"
"199","Lachnospiraceae_bacterium_5_1_63FAA","0.01",0.0288461538461538,"#797979","<i style='color:#797979'>Lachnospiraceae_bacterium_5_1_63FAA</i>"
"197","Clostridium_leptum","0.01",0.0305944055944056,"#797979","<i style='color:#797979'>Clostridium_leptum</i>"
"214","Coprococcus_catus","0.01",0.0375874125874126,"#D55E00","<i style='color:#D55E00'>Coprococcus_catus</i>"
"185","Eubacterium_ramulus","0.01",0.0384615384615385,"#797979","<i style='color:#797979'>Eubacterium_ramulus</i>"
"181","Lachnospiraceae_bacterium_3_1_46FAA","0.01",0.041958041958042,"#797979","<i style='color:#797979'>Lachnospiraceae_bacterium_3_1_46FAA</i>"
"135","Anaerotruncus_unclassified","0.001",0.0437062937062937,"#797979","<i style='color:#797979'>Anaerotruncus_unclassified</i>"
"178","Oscillibacter_unclassified","0.01",0.0445804195804196,"#797979","<i style='color:#797979'>Oscillibacter_unclassified</i>"
"207","Bacteroides_xylanisolvens","0.01",0.0559440559440559,"#D55E00","<i style='color:#D55E00'>Bacteroides_xylanisolvens</i>"
"164","Bilophila_wadsworthia","0.001",0.0576923076923077,"#797979","<i style='color:#797979'>Bilophila_wadsworthia</i>"
"132","Veillonella_unclassified","0.001",0.0585664335664336,"#797979","<i style='color:#797979'>Veillonella_unclassified</i>"
"216","Escherichia_coli","0.01",0.0664335664335664,"#797979","<i style='color:#797979'>Escherichia_coli</i>"
"194","Streptococcus_salivarius","0.01",0.0760489510489511,"#797979","<i style='color:#797979'>Streptococcus_salivarius</i>"
"171","Alistipes_finegoldii","0.01",0.0839160839160839,"#797979","<i style='color:#797979'>Alistipes_finegoldii</i>"
"184","Eubacterium_ventriosum","0.01",0.0882867132867133,"#797979","<i style='color:#797979'>Eubacterium_ventriosum</i>"
"183","Roseburia_hominis","0.01",0.118006993006993,"#797979","<i style='color:#797979'>Roseburia_hominis</i>"
"175","Bacteroidales_bacterium_ph8","0.01",0.131118881118881,"#797979","<i style='color:#797979'>Bacteroidales_bacterium_ph8</i>"
"141","Alistipes_senegalensis","0.001",0.142482517482517,"#797979","<i style='color:#797979'>Alistipes_senegalensis</i>"
"202","Bacteroides_thetaiotaomicron","0.01",0.148601398601399,"#797979","<i style='color:#797979'>Bacteroides_thetaiotaomicron</i>"
"177","Parabacteroides_distasonis","0.01",0.160839160839161,"#797979","<i style='color:#797979'>Parabacteroides_distasonis</i>"
"138","Lachnospiraceae_bacterium_7_1_58FAA","0.001",0.166083916083916,"#D55E00","<i style='color:#D55E00'>Lachnospiraceae_bacterium_7_1_58FAA</i>"
"131","Streptococcus_parasanguinis","0.001",0.201048951048951,"#797979","<i style='color:#797979'>Streptococcus_parasanguinis</i>"
"212","Alistipes_onderdonkii","0.01",0.207167832167832,"#797979","<i style='color:#797979'>Alistipes_onderdonkii</i>"
"142","Clostridium_leptum","0.001",0.214160839160839,"#797979","<i style='color:#797979'>Clostridium_leptum</i>"
"217","Eubacterium_siraeum","0.01",0.215034965034965,"#D55E00","<i style='color:#D55E00'>Eubacterium_siraeum</i>"
"179","Odoribacter_splanchnicus","0.01",0.217657342657343,"#797979","<i style='color:#797979'>Odoribacter_splanchnicus</i>"
"188","Dorea_formicigenerans","0.01",0.223776223776224,"#797979","<i style='color:#797979'>Dorea_formicigenerans</i>"
"155","Adlercreutzia_equolifaciens","0.001",0.227272727272727,"#797979","<i style='color:#797979'>Adlercreutzia_equolifaciens</i>"
"169","Alistipes_shahii","0.01",0.230769230769231,"#797979","<i style='color:#797979'>Alistipes_shahii</i>"
"165","Clostridium_bartlettii","0.001",0.244755244755245,"#797979","<i style='color:#797979'>Clostridium_bartlettii</i>"
"205","Roseburia_inulinivorans","0.01",0.258741258741259,"#797979","<i style='color:#797979'>Roseburia_inulinivorans</i>"
"174","Roseburia_intestinalis","0.01",0.26048951048951,"#D55E00","<i style='color:#D55E00'>Roseburia_intestinalis</i>"
"180","Akkermansia_muciniphila","0.01",0.26486013986014,"#797979","<i style='color:#797979'>Akkermansia_muciniphila</i>"
"189","Eubacterium_eligens","0.01",0.277097902097902,"#797979","<i style='color:#797979'>Eubacterium_eligens</i>"
"161","Escherichia_coli","0.001",0.284090909090909,"#797979","<i style='color:#797979'>Escherichia_coli</i>"
"158","Anaerostipes_hadrus","0.001",0.291958041958042,"#797979","<i style='color:#797979'>Anaerostipes_hadrus</i>"
"204","Bacteroides_dorei","0.01",0.298951048951049,"#797979","<i style='color:#797979'>Bacteroides_dorei</i>"
"167","Bacteroides_ovatus","0.01",0.309440559440559,"#D55E00","<i style='color:#D55E00'>Bacteroides_ovatus</i>"
"152","Bacteroides_xylanisolvens","0.001",0.313811188811189,"#D55E00","<i style='color:#D55E00'>Bacteroides_xylanisolvens</i>"
"168","Bacteroides_caccae","0.01",0.31993006993007,"#797979","<i style='color:#797979'>Bacteroides_caccae</i>"
