	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Faecalibacterium_prausnitzii	3107078.28	0.72	0.42	1.712583312	0.086789226	0.173578451
Eubacterium_siraeum	1478596.15	-0.92	0.67	-1.373413049	0.169623975	0.282706625
Agathobacter_rectalis	1368737.08	-0.66	0.31	-2.159693058	0.030796439	0.076991097
Bacteroides_xylanisolvens	855146.84	0.06	0.32	0.20245186	0.839563489	0.839563489
Bacteroides_ovatus	799716.82	-0.18	0.34	-0.518873856	0.60384871	0.670943012
Lachnospiraceae_bacterium_7_1_58FAA	680889.19	1.24	0.31	3.937379674	8.24E-05	0.000274587
Roseburia_intestinalis	530992.53	-1.43	0.27	-5.229070615	1.70E-07	1.70E-06
Subdoligranulum_variabile	432720.22	1.44	0.31	4.599463482	4.24E-06	2.12E-05
Coprococcus_catus	293997.97	0.46	0.59	0.779857305	0.435474872	0.62210696
Anaerobutyricum_soehngenii	253901.51	-0.39	0.68	-0.571443845	0.567698815	0.670943012
