"KOID"	"B1T24"	"B2T24"	"B3T24"	"B1T48"	"B2T48"	"B3T48"
"K00003"	1790	2347	2008	2134	2646	3093
"K00005"	3028	4974	742	2808	2109	2206
"K00008"	749	824	721	1112	1205	1865
"K00012"	423	461	1054	782	1211	1983
"K00013"	1240	1631	1833	1694	2545	3007
"K00014"	1277	1521	2428	2506	3394	3758
"K00016"	584	698	1053	501	785	1013
"K00018"	848	916	2012	1526	1801	2201
"K00020"	27	20	8	25	25	133
"K00024"	3325	5940	12256	1510	1231	1468
"K00027"	1385	1577	1957	1850	2441	2677
"K00029"	172	224	669	435	699	965
"K00031"	2288	4180	4600	2562	2984	3680
"K00033"	2718	5214	5875	1064	826	1083
"K00036"	1068	1988	3380	766	677	733
"K00040"	908	1044	3280	2902	3278	3390
"K00041"	749	960	5112	1306	1618	1572
"K00045"	65	91	133	189	326	440
"K00046"	813	1512	4838	1037	1139	1040
"K00048"	17722	29485	7476	19357	12230	6341
"K00052"	1032	1349	1313	1299	2141	2595
"K00053"	4580	6767	5663	2143	2433	4983
"K00057"	2171	2976	3601	2788	3162	3906
"K00058"	3601	5123	4718	2262	2569	3632
"K00059"	2351	3263	5530	6259	5362	6083
"K00067"	1796	2744	8541	6211	5262	7412
"K00068"	11	9	3	4	24	15
"K00074"	15597	24621	41397	33970	27030	43355
"K00075"	1317	1579	2088	1724	2134	2726
"K00077"	404	509	1242	1137	1553	1446
"K00087"	556	603	316	1018	864	1588
"K00088"	3913	5570	7978	6640	6806	7903
"K00091"	118	109	91	197	372	290
"K00096"	815	768	707	596	869	1234
"K00097"	231	382	1152	260	355	465
"K00099"	1453	1847	3862	2437	2429	3170
"K00104"	7817	13899	724	5334	3715	16113
"K00111"	1109	1426	1642	1582	1906	3477
"K00128"	80	102	193	484	482	781
"K00133"	2346	3317	2630	6161	5182	4410
"K00134"	38671	57758	68176	61449	47719	74176
"K00145"	791	972	1915	1848	2215	2518
"K00147"	1517	2067	2310	2492	3074	3659
"K00156"	866	1407	1956	698	888	1140
"K00169"	190	199	107	256	211	116
"K00170"	12	18	4	127	115	93
"K00171"	5	0	0	36	32	23
"K00172"	92	128	46	127	86	51
"K00174"	2283	3512	3910	1584	1604	2596
"K00175"	1366	2109	2277	887	892	1489
"K00176"	315	462	342	202	201	354
"K00177"	1125	1605	1076	616	605	948
"K00179"	1724	2599	1516	1462	2075	1920
"K00180"	584	927	476	492	693	556
"K00196"	76	120	37	100	119	64
"K00198"	8	13	8	8	79	69
"K00208"	90	248	517	155	228	255
"K00215"	1757	2657	1965	3407	3011	2888
"K00226"	459	928	1669	270	352	481
"K00230"	84	150	227	103	163	185
"K00239"	1370	2861	8224	1098	1530	1729
"K00240"	568	1246	3713	544	753	729
"K00241"	416	810	2267	205	233	311
"K00243"	608	699	1071	570	1036	1606
"K00244"	2200	3734	11063	6602	3468	5913
"K00254"	11	8	39	62	60	112
"K00259"	625	1304	1904	533	641	908
"K00262"	11980	24955	45154	7414	7492	8375
"K00265"	2665	3064	5011	3224	5303	7123
"K00266"	5642	7264	6368	6270	7617	13446
"K00275"	73	98	241	197	251	337
"K00278"	1219	1875	1954	1326	2031	2411
"K00281"	340	484	1544	560	892	1195
"K00282"	77	116	47	166	184	258
"K00283"	104	161	90	291	276	374
"K00286"	3099	4937	3295	2108	2231	3159
"K00287"	536	724	811	469	713	703
"K00289"	17	17	22	53	71	128
"K00290"	2236	3201	5376	2467	3112	4814
"K00297"	815	1058	2437	1813	2520	2671
"K00303"	0	3	3	8	40	50
"K00327"	1	0	0	1	5	8
"K00330"	19	22	67	46	81	94
"K00331"	84	76	193	186	285	448
"K00334"	16	15	1	48	34	84
"K00335"	92	115	95	366	346	671
"K00336"	182	226	130	748	666	1636
"K00337"	98	93	212	210	337	447
"K00338"	24	26	90	71	112	134
"K00339"	38	35	96	87	124	174
"K00340"	19	32	61	39	87	104
"K00341"	118	141	328	266	505	621
"K00342"	102	90	273	242	400	475
"K00343"	79	100	210	188	330	424
"K00344"	3	2	3	10	21	32
"K00346"	224	388	1435	227	344	484
"K00347"	144	297	978	164	233	291
"K00348"	87	185	643	120	171	226
"K00349"	107	145	573	96	183	156
"K00350"	89	186	664	113	161	197
"K00351"	205	360	1449	257	414	619
"K00366"	44	57	82	144	198	413
"K00375"	803	761	1140	1811	2762	3543
"K00382"	627	783	1157	1079	1506	2011
"K00384"	1775	2554	5080	3537	3804	5292
"K00385"	123	141	35	137	102	122
"K00390"	254	204	170	163	276	230
"K00394"	376	345	525	360	703	1037
"K00395"	75	88	126	80	192	258
"K00425"	1073	2304	3533	483	422	602
"K00426"	594	1321	1906	302	396	540
"K00432"	599	984	892	189	203	230
"K00525"	346	468	1727	726	1083	1366
"K00528"	2297	3004	1774	2246	2174	4575
"K00537"	136	163	254	246	246	277
"K00548"	2264	2602	3878	4776	6427	7273
"K00554"	2158	3082	2676	3483	3853	3521
"K00558"	4919	6644	4338	7870	8919	8690
"K00560"	786	1204	1159	856	1060	1234
"K00561"	29	61	167	48	93	118
"K00563"	1865	2162	8419	7311	4465	6700
"K00566"	1460	1699	2671	3730	4888	5433
"K00567"	218	270	438	678	855	912
"K00574"	41	31	17	10	45	42
"K00575"	1367	1904	1157	1118	981	984
"K00595"	969	1131	1634	2024	2352	2834
"K00600"	2894	4322	3270	3074	2866	3669
"K00602"	3216	4616	4329	2585	3253	3763
"K00603"	271	723	1399	211	306	322
"K00604"	926	1296	2037	1968	2350	2835
"K00605"	745	1621	2983	521	625	917
"K00606"	474	625	1083	453	761	1029
"K00609"	2146	3086	4594	4822	4400	7587
"K00610"	912	1165	2277	2475	1902	3539
"K00611"	1082	1362	2567	2244	2430	2920
"K00615"	7628	10042	13456	13895	11707	19997
"K00616"	3358	5130	3689	3128	2967	4706
"K00620"	1301	1548	2227	1597	2001	2502
"K00625"	2808	3839	7171	5968	5521	8570
"K00626"	21980	35481	51151	29414	26949	44276
"K00627"	9	13	19	43	103	113
"K00632"	53	33	61	263	305	425
"K00633"	30	12	74	63	66	160
"K00634"	80	92	696	596	532	839
"K00639"	860	1772	3160	393	466	636
"K00640"	1104	1389	1828	2115	2384	3018
"K00645"	1633	2351	2621	1286	1820	1781
"K00647"	29	37	93	148	195	281
"K00648"	1758	2681	4119	1731	2445	2845
"K00651"	850	1041	1486	1393	1950	2416
"K00652"	144	201	491	451	714	932
"K00655"	1557	1888	3084	3598	3447	4209
"K00656"	4336	6543	11063	16827	11560	12207
"K00657"	455	534	910	1063	1286	1232
"K00658"	467	859	1266	451	511	660
"K00661"	734	864	1589	1874	2529	2796
"K00666"	184	193	528	365	572	748
"K00677"	163	428	1112	244	401	434
"K00681"	17	37	8	46	36	146
"K00688"	14941	23035	24239	15775	12705	18511
"K00690"	1043	1310	1518	531	969	1418
"K00700"	7476	10490	11512	8620	9066	10683
