"","KO","GeneName","Species","Module","Rep","TimePoint","value"
"1","K00688"," PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]","Agathobacter_rectalis","starch_degradation","B1","24",668.250321274193
"2","K00688"," PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]","Anaerobutyricum_soehngenii","starch_degradation","B1","24",75.3923439386269
"3","K00688"," PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]","Bacteroides_ovatus","starch_degradation","B1","24",110.596207017407
"4","K00688"," PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]","Bacteroides_xylanisolvens","starch_degradation","B1","24",60.4384905954282
"5","K00688"," PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]","Coprococcus_catus","starch_degradation","B1","24",37.0730947466802
"6","K00688"," PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]","Eubacterium_siraeum","starch_degradation","B1","24",3231.90155379882
"7","K00688"," PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]","Faecalibacterium_prausnitzii","starch_degradation","B1","24",286.615522411309
"8","K00688"," PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]","Lachnospiraceae_bacterium","starch_degradation","B1","24",26.792320573231
"9","K00688"," PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]","Roseburia_intestinalis","starch_degradation","B1","24",80.3769617196931
"10","K00688"," PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]","Subdoligranulum_variabile","starch_degradation","B1","24",77.2615756065267
"11","K00705"," malQ; 4-alpha-glucanotransferase [EC:2.4.1.25]","Agathobacter_rectalis","starch_degradation","B1","24",586.315666497917
"12","K00705"," malQ; 4-alpha-glucanotransferase [EC:2.4.1.25]","Anaerobutyricum_soehngenii","starch_degradation","B1","24",66.0461855991277
"13","K00705"," malQ; 4-alpha-glucanotransferase [EC:2.4.1.25]","Bacteroides_ovatus","starch_degradation","B1","24",79.7538844970599
"14","K00705"," malQ; 4-alpha-glucanotransferase [EC:2.4.1.25]","Bacteroides_xylanisolvens","starch_degradation","B1","24",39.2538650258967
"15","K00705"," malQ; 4-alpha-glucanotransferase [EC:2.4.1.25]","Coprococcus_catus","starch_degradation","B1","24",22.4307800147981
"16","K00705"," malQ; 4-alpha-glucanotransferase [EC:2.4.1.25]","Eubacterium_siraeum","starch_degradation","B1","24",1809.10471591573
"17","K00705"," malQ; 4-alpha-glucanotransferase [EC:2.4.1.25]","Faecalibacterium_prausnitzii","starch_degradation","B1","24",246.115502940146
