Sample,Timepoint,Replicate,CarbonSource,OD600,pH
B1T0,T0,1,Cellobiose-Inulin-Pectin-Starch-Xylan,0.62,7.4
B2T0,T0,2,Cellobiose-Inulin-Pectin-Starch-Xylan,0.625,7.4
B3T0,T0,3,Cellobiose-Inulin-Pectin-Starch-Xylan,0.61,7.39
B4T0,T0,4,Cellobiose-Inulin-Pectin-Starch-Xylan,0.61,7.41
B1T24,T24,1,Cellobiose-Inulin-Pectin-Starch-Xylan,1.89,6.57
B2T24,T24,2,Cellobiose-Inulin-Pectin-Starch-Xylan,1.95,6.55
B3T24,T24,3,Cellobiose-Inulin-Pectin-Starch-Xylan,1.95,6.61
B4T24,T24,4,Cellobiose-Inulin-Pectin-Starch-Xylan,1.965,6.62
B1T48,T48,1,Cellobiose-Inulin-Pectin-Starch-Xylan,1.56,6.83
B2T48,T48,2,Cellobiose-Inulin-Pectin-Starch-Xylan,1.615,6.7
B3T48,T48,3,Cellobiose-Inulin-Pectin-Starch-Xylan,1.61,6.66
B4T48,T48,4,Cellobiose-Inulin-Pectin-Starch-Xylan,1.6,6.68
B1T72,T72,1,Cellobiose-Inulin-Pectin-Starch-Xylan,1.31,6.72
B2T72,T72,2,Cellobiose-Inulin-Pectin-Starch-Xylan,1.35,6.73
B3T72,T72,3,Cellobiose-Inulin-Pectin-Starch-Xylan,1.3,6.93
B4T72,T72,4,Cellobiose-Inulin-Pectin-Starch-Xylan,1.43,6.65
B1T96,T96,1,Cellobiose-Inulin-Pectin-Starch-Xylan,1.16,6.72
B2T96,T96,2,Cellobiose-Inulin-Pectin-Starch-Xylan,1.17,6.73
B3T96,T96,3,Cellobiose-Inulin-Pectin-Starch-Xylan,1.135,6.93
B4T96,T96,4,Cellobiose-Inulin-Pectin-Starch-Xylan,1.25,6.65
