Sample,Acetate,Butyrate,Formate,Isobutyrate,Lactate,Propionate,Cellobiose,Fructose,Glucose,Xylose,BacterialStrain,Replicate,Timepoint
AR1_T0,30.11725762,0,1.206121141,0,1.455782741,2.601329533,3.20219308,0,0.79201078,0.857519353,Agathobacter rectalis,AR1,T0
AR1_T24,23.7770045,10.7071098,3.853933304,0,8.762622764,2.614101831,0,0,0.033520147,1.163325256,Agathobacter rectalis,AR1,T24
AR1_T48,19.48015802,16.7175299,4.615671594,0,9.403465503,2.73051806,0.02172084,1.533383591,0.082790359,0,Agathobacter rectalis,AR1,T48
AR1_T72,16.04424449,16.51905463,4.130299505,0,8.454672653,2.295612522,0,1.415371989,0.076789669,0,Agathobacter rectalis,AR1,T72
AR1_T96,17.85162153,16.86376253,4.233167728,0,8.834175641,2.513840013,0,1.509630459,0.090626842,0,Agathobacter rectalis,AR1,T96
AR1_T168,19.02425922,19.02116398,4.725509496,0,3.51763772,2.730240903,0.025197026,1.584211152,0.101786966,0,Agathobacter rectalis,AR1,T168
AR2_T0,26.45795953,0,1.147596138,0,1.294603805,2.095988278,1.684611808,0,0.823579815,0.717880097,Agathobacter rectalis,AR2,T0
AR2_T24,17.51328901,8.996332139,2.987941818,0,5.706069446,2.004689442,0.168925003,0,0.068713942,0.76613713,Agathobacter rectalis,AR2,T24
AR2_T48,17.97464581,17.80247997,2.887504257,0,7.21537828,2.652869458,0,1.327532582,0.047709624,0,Agathobacter rectalis,AR2,T48
AR2_T72,20.59386758,21.61634737,4.520714141,0,8.988113318,3.051616017,0,1.836017701,0.082755009,0,Agathobacter rectalis,AR2,T72
AR2_T96,17.36550629,18.47434812,3.949803925,0,7.681622239,2.587560476,0.087596197,1.483662305,0.07692528,0,Agathobacter rectalis,AR2,T96
AR2_T168,17.09169955,20.15888169,4.452062879,0,8.058695196,2.643023214,0,1.526381081,0.063354695,0,Agathobacter rectalis,AR2,T168
BO1_T0,26.79703884,1.11162497,0,0,1.047997605,0,1.99720518,0,1.007110001,0.785524579,Bacteroides ovatus,BO1,T0
BO1_T24,25.57265412,1.085282164,0.431286855,0,4.903862835,2.564321501,1.842835055,0,0.826707461,1.42513785,Bacteroides ovatus,BO1,T24
BO1_T48,26.60906109,1.216729832,0,0,13.0687358,3.174106418,0.831134633,0,0,3.023555052,Bacteroides ovatus,BO1,T48
BO1_T72,29.3692333,1.182313246,1.804603053,0,15.38957998,4.104042077,0.368691048,0,0.019037292,2.994408161,Bacteroides ovatus,BO1,T72
BO1_T96,30.85771725,1.203402461,2.177143928,0,16.4863095,4.561069984,0.013901462,0,0,2.789152311,Bacteroides ovatus,BO1,T96
BO1_T168,32.01517304,1.286713919,2.982171963,0.132396811,17.70983984,5.492724763,0.05993403,0,0.047295253,1.796171292,Bacteroides ovatus,BO1,T168
BO2_T0,22.56499599,0.894791557,0,0,0.506050348,2.194098779,1.668808145,0,1.058862005,0.150408842,Bacteroides ovatus,BO2,T0
BO2_T24,29.03397396,1.077919758,0,0,4.877953958,3.52512996,1.102743261,0,0.031977394,2.29315972,Bacteroides ovatus,BO2,T24
BO2_T48,31.83237407,1.157619767,0,0,5.678355063,8.204753077,0.368671128,0,0.410536215,2.592317124,Bacteroides ovatus,BO2,T48
BO2_T72,28.9349562,0,0,0.084081167,5.170950148,8.731292553,0.123555273,0,0.051724937,1.857828699,Bacteroides ovatus,BO2,T72
BO2_T96,30.58463209,1.085476574,0,0,5.603681867,9.903446439,0.036447229,0,0.049844796,1.372685594,Bacteroides ovatus,BO2,T96
BO2_T168,35.63914368,1.284395468,0,0.288899622,6.435406657,14.22896821,0,0,0,0.552748338,Bacteroides ovatus,BO2,T168
BX1_T0,25.01858218,0.923538386,0,0,1.011864888,2.332764142,1.496941103,0,0.508716234,0.14904678,Bacteroides xylanisolvens,BX1,T0
BX1_T24,30.16521909,1.15406676,0,0,1.605402364,5.868042976,1.137802275,0,0.164031966,2.394504323,Bacteroides xylanisolvens,BX1,T24
BX1_T48,33.80854621,1.16331719,0,0,2.673190059,11.52749931,0.240846689,0,0.36009435,1.709329524,Bacteroides xylanisolvens,BX1,T48
BX1_T72,34.87546997,0,0,0.332939019,2.917908243,14.85129378,0.025095193,0,0.448370748,0.813686427,Bacteroides xylanisolvens,BX1,T72
BX1_T96,29.77122074,0.97301692,0,0.223021899,5.225436238,13.49793493,0,0,0,0.753617592,Bacteroides xylanisolvens,BX1,T96
BX1_T168,40.54779222,1.487670486,0,0.377537693,5.181288881,22.46625903,0,0,0,0.582564456,Bacteroides xylanisolvens,BX1,T168
BX2_T0,28.54032924,1.167695666,0.634693549,0,1.18277887,2.46049842,1.560976194,0,0.709025438,0.460993465,Bacteroides xylanisolvens,BX2,T0
BX2_T24,36.89003657,1.290654033,0,0,1.256652719,7.057652333,1.231104868,0,0.613887539,1.42366443,Bacteroides xylanisolvens,BX2,T24
BX2_T48,33.94249656,1.104382449,0,0,2.270377525,11.32514403,0.381849384,0,0.542416021,1.092384902,Bacteroides xylanisolvens,BX2,T48
BX2_T72,30.68125868,0.799625123,0,0.213302545,2.191026369,12.27447558,0.093876066,0,0,0.683461063,Bacteroides xylanisolvens,BX2,T72
BX2_T96,31.00758731,1.188505722,0,0.223354036,2.514373744,13.84798895,0,0,0.032719088,0.711474612,Bacteroides xylanisolvens,BX2,T96
BX2_T168,39.8943104,1.363354623,0,0.405451657,4.079588423,21.52973909,0,0,0.052819791,0.600288824,Bacteroides xylanisolvens,BX2,T168
CC1_T0,24.77298876,0,1.915174296,0,1.35141437,2.199368168,1.796241173,0,1.277601348,0.744938138,Coprococcus catus,CC1,T0
CC1_T24,30.87346228,0,0.948169781,0,0,3.279739125,2.333897471,0,1.214674554,0,Coprococcus catus,CC1,T24
CC1_T48,25.23034265,2.841223351,0.863868158,0,0,2.950013843,2.108035519,0,0.850113944,0,Coprococcus catus,CC1,T48
CC1_T72,31.78353709,4.014359378,1.990780855,0,0,3.430429678,2.286579752,0,0,0.028056281,Coprococcus catus,CC1,T72
CC1_T96,26.13718511,3.566395087,1.494683785,0,0,2.858863723,2.06038322,0,0.417056968,0.104632794,Coprococcus catus,CC1,T96
CC1_T168,24.47767124,3.856365946,0.637064471,0,0,2.822193343,2.056168665,0,0.257407197,0,Coprococcus catus,CC1,T168
CC2_T0,26.73418857,0,0,0,1.076232415,2.432803084,2.267573628,0,1.871187546,0.174254597,Coprococcus catus,CC2,T0
CC2_T24,26.04002413,0,0.947612016,0,0,2.997491563,2.193152311,0,1.527711974,0,Coprococcus catus,CC2,T24
CC2_T48,35.46257331,3.721466574,1.37270292,0,0,4.08423461,3.092785818,0,0.703278113,0,Coprococcus catus,CC2,T48
CC2_T72,34.04060791,3.655446029,1.031040193,0,0,3.704528859,2.897763631,0,0,0,Coprococcus catus,CC2,T72
CC2_T96,29.22800275,3.519280231,1.819280316,0,0,3.077502436,2.14628385,0,0,0,Coprococcus catus,CC2,T96
CC2_T168,29.32227633,3.996637206,1.340905539,0,0,3.118076243,2.214830464,0,0,0,Coprococcus catus,CC2,T168
EH1_T0,25.92639194,1.210632759,0,0,1.028879728,2.478899432,1.73433022,0,1.346738849,0.051110023,Anaerobutyricum soehngenii,EH1,T0
EH1_T24,28.37985545,2.244735482,0.64026621,0,1.164420126,2.590057066,1.961992204,0,0,0,Anaerobutyricum soehngenii,EH1,T24
EH1_T48,27.87485646,3.123942874,0.806654392,0,0.38787263,2.586970469,1.989801044,0,0.323678912,0,Anaerobutyricum soehngenii,EH1,T48
EH1_T72,26.628501,3.336297014,0.95642726,0,0,2.504111821,1.940428625,0,0.268200456,0,Anaerobutyricum soehngenii,EH1,T72
