	KO	category	foldChange	GeneName
1	K00024	Carbon metabolism	-2.940963133	 mdh; malate dehydrogenase [EC:1.1.1.37]
7	K00033	Carbon metabolism	-2.89569097	" PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]"
8	K00036	Carbon metabolism	-2.17892864	" G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]"
9	K00053	Pantothenate and CoA biosynthesis	-1.666087007	 ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]
10	K00128	beta-Alanine metabolism	1.523144416	 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
15	K00170	Nitrotoluene degradation	2.492077526	 porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
24	K00171	Methane metabolism	3.300088181	 porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
33	K00174	Citrate cycle (TCA cycle)	-1.500087121	" korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]"
39	K00175	Butanoate metabolism	-1.575530448	" korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]"
45	K00177	Citrate cycle (TCA cycle)	-1.635841267	" korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]"
48	K00198	Carbon metabolism	1.548160021	" cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]"
52	K00226	Pyrimidine metabolism	-2.126457192	 pyrD; dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]
53	K00239	Butanoate metabolism	-2.081429282	" sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"
57	K00240	Carbon fixation pathways in prokaryotes	-1.990282625	" sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
61	K00241	Carbon fixation pathways in prokaryotes	-2.796318716	" sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit"
65	K00425	Two-component system	-2.839602389	 cydA; cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]
66	K00426	Two-component system	-2.308043445	 cydB; cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]
67	K00605	Carbon metabolism	-2.019767021	" gcvT, AMT; aminomethyltransferase [EC:2.1.2.10]"
69	K00627	Citrate cycle (TCA cycle)	1.905093884	" DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"
73	K00632	"Valine, leucine and isoleucine degradation"	1.979160364	" fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]"
74	K00895	Glycolysis / Gluconeogenesis	-1.735444921	" pfp, PFP; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]"
75	K00940	Pyrimidine metabolism	-2.851471674	" ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]"
76	K00954	Pantothenate and CoA biosynthesis	-1.7194372	" E2.7.7.3A, coaD, kdtB; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]"
77	K01007	Glycolysis / Gluconeogenesis	1.69460496	" pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]"
82	K01029	Butanoate metabolism	2.235891212	" E2.8.3.5B, scoB; 3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]"
84	K01057	Carbon metabolism	-1.891908087	" PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]"
85	K01176	Starch and sucrose metabolism	-2.40482529	" AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]"
86	K01193	Starch and sucrose metabolism	3.750748141	" INV, sacA; beta-fructofuranosidase [EC:3.2.1.26]"
87	K01200	Starch and sucrose metabolism	-1.8079678	 pulA; pullulanase [EC:3.2.1.41]
88	K01596	Citrate cycle (TCA cycle)	-2.50670876	" E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]"
91	K01676	Pyruvate metabolism	-1.752159015	" E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]"
95	K01838	Starch and sucrose metabolism	-2.474373416	 pgmB; beta-phosphoglucomutase [EC:5.4.2.6]
96	K01847	Carbon fixation pathways in prokaryotes	-1.66061317	 MUT; methylmalonyl-CoA mutase [EC:5.4.99.2]
101	K01848	Propanoate metabolism	2.859384768	" E5.4.99.2A, mcmA1; methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]"
106	K01849	Carbon fixation pathways in prokaryotes	2.476115838	" E5.4.99.2B, mcmA2; methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]"
111	K01902	Propanoate metabolism	-1.548621838	 sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
115	K01960	Citrate cycle (TCA cycle)	-2.314755702	 pycB; pyruvate carboxylase subunit B [EC:6.4.1.1]
119	K02106	Two-component system	1.964239824	 atoE; short-chain fatty acids transporter
120	K02387	Flagellar assembly	-1.559083084	 flgB; flagellar basal-body rod protein FlgB
121	K02388	Flagellar assembly	-1.702725394	 flgC; flagellar basal-body rod protein FlgC
122	K02390	Flagellar assembly	-1.508946239	 flgE; flagellar hook protein FlgE
123	K02406	Flagellar assembly	-2.690605962	 fliC; flagellin
