"","KO","LocusTag","B1T24","B2T24","B3T24","B1T48","B2T48","B3T48","Level_1","Level_2","Level_3","KOID","GeneName","BacterialStrain","Locus"
"1","K00003","Agathobacter_rectalis_00645",476,612,783,324,699,856,"09100 Metabolism","09105 Amino acid metabolism","00270 Cysteine and methionine metabolism [PATH:ko00270]","K00003"," hom; homoserine dehydrogenase [EC:1.1.1.3]","Agathobacter_rectalis","00645"
"2","K00003","Anaerobutyricum_soehngenii_01021",21,62,9,14,35,52,"09100 Metabolism","09105 Amino acid metabolism","00270 Cysteine and methionine metabolism [PATH:ko00270]","K00003"," hom; homoserine dehydrogenase [EC:1.1.1.3]","Anaerobutyricum_soehngenii","01021"
"3","K00003","Eubacterium_siraeum_00090",852,1124,356,455,442,475,"09100 Metabolism","09105 Amino acid metabolism","00270 Cysteine and methionine metabolism [PATH:ko00270]","K00003"," hom; homoserine dehydrogenase [EC:1.1.1.3]","Eubacterium_siraeum","00090"
"4","K00003","Coprococcus_catus_01702",88,116,57,62,38,336,"09100 Metabolism","09105 Amino acid metabolism","00270 Cysteine and methionine metabolism [PATH:ko00270]","K00003"," hom; homoserine dehydrogenase [EC:1.1.1.3]","Coprococcus_catus","01702"
"5","K00003","Faecalibacterium_prausnitzii_01040",147,187,504,802,877,684,"09100 Metabolism","09105 Amino acid metabolism","00270 Cysteine and methionine metabolism [PATH:ko00270]","K00003"," hom; homoserine dehydrogenase [EC:1.1.1.3]","Faecalibacterium_prausnitzii","01040"
"6","K00003","Anaerobutyricum_soehngenii_02720",51,86,11,37,78,200,"09100 Metabolism","09105 Amino acid metabolism","00270 Cysteine and methionine metabolism [PATH:ko00270]","K00003"," hom; homoserine dehydrogenase [EC:1.1.1.3]","Anaerobutyricum_soehngenii","02720"
"7","K00003","Lachnospiraceae_bacterium_7_1_58FAA_03873",27,18,177,195,258,279,"09100 Metabolism","09105 Amino acid metabolism","00270 Cysteine and methionine metabolism [PATH:ko00270]","K00003"," hom; homoserine dehydrogenase [EC:1.1.1.3]","Lachnospiraceae_bacterium","7_1_58FAA_03873"
"8","K00003","Roseburia_intestinalis_03844",107,120,51,22,46,23,"09100 Metabolism","09105 Amino acid metabolism","00270 Cysteine and methionine metabolism [PATH:ko00270]","K00003"," hom; homoserine dehydrogenase [EC:1.1.1.3]","Roseburia_intestinalis","03844"
"9","K00003","Subdoligranulum_variabile_02288",21,22,60,223,173,188,"09100 Metabolism","09105 Amino acid metabolism","00270 Cysteine and methionine metabolism [PATH:ko00270]","K00003"," hom; homoserine dehydrogenase [EC:1.1.1.3]","Subdoligranulum_variabile","02288"
"10","K00005","Coprococcus_catus_00966",6,3,0,4,5,12,"09100 Metabolism","09101 Carbohydrate metabolism","00640 Propanoate metabolism [PATH:ko00640]","K00005"," gldA; glycerol dehydrogenase [EC:1.1.1.6]","Coprococcus_catus","00966"
"11","K00005","Lachnospiraceae_bacterium_7_1_58FAA_04639",15,18,30,62,107,142,"09100 Metabolism","09101 Carbohydrate metabolism","00640 Propanoate metabolism [PATH:ko00640]","K00005"," gldA; glycerol dehydrogenase [EC:1.1.1.6]","Lachnospiraceae_bacterium","7_1_58FAA_04639"
"12","K00005","Anaerobutyricum_soehngenii_00876",29,46,12,34,53,134,"09100 Metabolism","09101 Carbohydrate metabolism","00640 Propanoate metabolism [PATH:ko00640]","K00005"," gldA; glycerol dehydrogenase [EC:1.1.1.6]","Anaerobutyricum_soehngenii","00876"
"13","K00005","Anaerobutyricum_soehngenii_01007",271,612,37,368,255,949,"09100 Metabolism","09101 Carbohydrate metabolism","00640 Propanoate metabolism [PATH:ko00640]","K00005"," gldA; glycerol dehydrogenase [EC:1.1.1.6]","Anaerobutyricum_soehngenii","01007"
