"","Level_1","Level_2","Level_3","KOID","GeneName","KO"
"1","09100 Metabolism","09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00844"," HK; hexokinase [EC:2.7.1.1]","K00844"
"2","09100 Metabolism","09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00845"," glk; glucokinase [EC:2.7.1.2]","K00845"
"3","09100 Metabolism","09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01810"," GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]","K01810"
"4","09100 Metabolism","09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K06859"," pgi1; glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]","K06859"
"5","09100 Metabolism","09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00850"," pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]","K00850"
"6","09100 Metabolism","09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K21071"," pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]","K21071"
"7","09100 Metabolism","09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00895"," pfp, PFP; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]","K00895"
"8","09100 Metabolism","09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K04041"," fbp3; fructose-1,6-bisphosphatase III [EC:3.1.3.11]","K04041"
"9","09100 Metabolism","09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K11645"," fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]","K11645"
"10","09100 Metabolism","09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01624"," FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]","K01624"
"11","09100 Metabolism","09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01803"," TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]","K01803"
"12","09100 Metabolism","09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00134"," GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","K00134"
"13","09100 Metabolism","09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K00927"," PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","K00927"
"14","09100 Metabolism","09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K01834"," PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]","K01834"
"15","09100 Metabolism","09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K15633"," gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]","K15633"
"16","09100 Metabolism","09101 Carbohydrate metabolism","00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","K15635"," apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]","K15635"
